編號,成立核准文號,成立核准日期,管理委員會,建築物地址,棟數,地上層數,地下層數,使用執照
16,'85-101816,085/06/18,書香門第公寓大廈,新化區正新北路86號5樓之1,1,8,1,(084)南工使字第03210號
17,'85-109742,085/07/01,理想家公寓大廈,新營區隋唐街395號4樓之2,1,8,1,(082)南工使字第02151號
18,'建95728,085/07/02,建業公寓大廈,中西區建業街41號,1,7,0,(070)南工使字第00723-48號
19,'85-112879,085/07/04,諾貝爾,永康區中華路7巷20弄38號16F之1號,1,17,3,(083)南工使字第00820號共2筆使照
20,'85-123796,085/07/18,陽光大地社區,新化區大德路80之15號,21,4,,(083)南工使字第00424號共23筆使照
21,'24893,085/07/29,都會園社區一弄,北區林森路三段84巷1弄10號,66,4,1,(084)南工使字第02032號
22,'建105640,085/08/02,亞姆斯壯公寓大廈,中西區永華路一段36號,1,12,1,(085)南工使字第00394號
23,'85-139297,085/08/14,巴黎花園廣場大廈,新化區信義街171之7號,1,9,1,(084)南工使字第02902號
24,'85-152314,085/09/03,摩登天廈,新營區康樂街16-2號,1,8,1,(085)南工局使字第00513號
25,'85-153838,085/09/13,富豪家鄉社區,永康區大同街63號3樓之5,2,7,1,(082)南工使字第02936號
26,'85-159590,085/09/13,加拿大大樓,永康區大同街389號,1,7,1,(084)南工使字第02233號
27,'85-159302,085/09/13,麗園御品,鹽水區水秀里土庫2之47號,34,3,,(083)南工使字第03013號
28,'85-165719,085/09/24,州城天廈,歸仁區民權北路186號,1,8,1,(082)南工使字第04391號
29,'85-167857,085/09/26,府城天下觀雲社區丙區,永康區中華二路340巷12號1樓,4,17,2,(081)南工使字第05418號
30,'建34301,085/10/07,鄉城帝國天廈社區,東區裕農路375號2樓之6,1,12,2,(079)南工使字第01066-06號
31,'85-174749,085/10/15,永康新天地大樓,永康區龍埔街85號5樓之12,1,12,2,(085)南工使字第01040號
32,'85-177842,085/10/15,香榭華廈,永康區復國二路217號,9,11,1,(084)南工使字第01979號
33,'85-178932,085/10/15,公園華廈大樓,永康區國華街102巷61號5樓之2,1,11,1,(084)南工使字第04164號
34,'85-179711,085/10/17,新營市民治新村,新營區民治路53巷11之3號,1,7,1,(084)南工使字第03363號
35,'建35520,085/10/18,荷蘭芳鄰公寓大廈,安平區育平九街243號,1,8,1,(083)南工使字第02471號
36,'85-186444,085/11/09,故鄉華廈,佳里區成功路213巷91之2號4樓之2,1,7,1,(083)南工使字第04880號
37,'85-195650,085/11/13,統穩返鄉公寓大廈,永康區中山北路114號10樓之4,1,19,2,(083)南工使字第03094號
38,'136306,085/11/28,安中警察新城,安南區安中路三段341號,4,4,1,(084)南工使字第01955號
39,'建136215,085/11/29,華平翠園,安平區建平一街224巷21弄10號,2,7,1,(084)南工使字第00850號
40,'建138573,085/12/10,長榮森之林公寓大樓,東區長榮路一段15號,1,12,1,(085)南工使字第01308號
41,'建52138,086/01/15,連皇辦公大廈住戶聯合,中西區成功路515號,1,12,2,(083)南工使字第03135號
42,'建51169,086/01/15,鳳凰貴族公寓大廈,南區永春街36號,1,8,0,(081)南工使字第01106-03號
43,'建55280,086/01/27,體育公園大廈,中西區府連路106號7F1,1,7,2,(081)南工使字第00818號
44,'建56135,086/01/28,民族鉅星大樓,中西區民族路二段76號之9,1,1,3,(082)南工使字第01367號
45,'建56006,086/01/30,最愛大廈,安平區慶平路200號,1,13,2,(084)南工使字第02598號
46,'86-19991,086/02/05,勝利王朝,永康區勝利街22巷5弄9號9F2,1,9,2,(083)南工使字第05451號
47,'05420,086/02/18,富奕天下公寓大廈,東區德高街80號,2,7,1,(082)南工使字第03484號
48,'建05663,086/02/20,收購台南公寓,中西區金華路三段218號14樓之16,1,18,3,(084)南工使字第01633號
49,'86-29486,086/02/25,快樂家公寓大廈,新營區富強街36號1樓,6,8,1,(083)南工使字第00640號
50,'建63102,086/03/03,名流天廈公寓大廈,東區裕農路372-3號10樓之1,1,16,3,(084)南工使字第02942號
51,'86-34945,086/03/06,滿堂樓公寓大廈,永康區中山路10巷6號11樓之2,1,12,1,(084)南工使字第03564號
52,'86-34946,086/03/06,奇中奇大樓,永康區文賢街136巷6號6樓之2,2,11,2,(084)南工使字第02372號
53,'86-37033,086/03/11,麗晶華廈,永康區復國二路215巷30號,1,11,1,(084)南工使字第01980號
54,'86-37019,086/03/11,摩登都會,新市區復興路62巷9號,1,8,1,(084)南工使字第02141號
55,'86-48292,086/03/24,冠軍鄉集仕公寓大廈,新化區民治路33巷40號5樓之2,1,8,1,(084)南工使字第03759號
56,'建69211,086/04/01,華爾街資訊大樓,東區裕忠一街72號,1,11,0,(079)南工使字第01061-43號
57,'86-57027,086/04/08,佳和家郃社區,永康區中華二路266巷11號5F-2,1,16,2,(085)南工使字第01446號
58,'建75794,086/04/11,南國都會神奇公寓大廈,安平區郡平路188號11樓31,1,17,2,(085)南工使字第01524號
59,'86-58890,086/04/12,大亨豪園,永康區中山北路164巷120之1號3樓,1,5,1,(082)南工使字第01178號
60,'86-57871,086/04/12,旺春風大樓,永康區中正北路543號,1,13,1,(085)南工使字第00542號
61,'86-59087,086/04/12,大都市B,永康區埔東街12之52號,1,8,1,(083)南工使字第04380號
62,'86-59077,086/04/12,金鑽中華住戶,永康區中華路667號,1,14,2,(085)南工使字第00951號
63,'86-59081,086/04/14,華貴大鎮,永康區大灣路40巷209弄7樓2號,1,8,1,(083)南工使字第00067號
64,'86-63639,086/04/18,龍門世家Ⅱ公寓大廈,永康區崑山街193號3樓之2,1,7,1,(081)南工使字第03860號
65,'建14999,086/05/02,華信金融大樓,中西區西門路二段351號5樓,1,12,2,(080)南工使字第01079-64號
66,'80191,086/05/02,怡情玉樓,安南區同安路410號14樓-1,1,18,2,(085)南工使字第01839號
67,'86-72894,086/05/05,府城天下觀雲社區甲區,永康區中華二路340巷15弄6號1樓,2,18,2,(081)南工使字第05384號
68,'86-70943,086/05/05,我家〈B〉大廈,新營區茄苳腳13之7號2樓之1,1,5,1,(081)南工使字第04273號
69,'86-87377,086/05/27,翡冷翠公寓大廈,永康區小東路647巷34號3樓,2,7,1,(080)南工使字第02743號
70,'86-91975,086/05/30,狀元第公寓大廈,歸仁區信義北路96巷18號2樓,1,7,1,(084)南工使字第03665號
71,'建92056,086/06/01,南雲金都,東區台南市東區仁和路95號,1,9,2,(083)南工使字第03035號
72,'建88938,086/06/03,台南花鄉社區,南區大同路二段330巷109弄25號,2,4,1,(081)南工使字第00023號
73,'87381,086/06/06,大亞洲大樓,東區府東街107號14F,2,16,2,(085)南工使字第01610號
74,'86-86096,086/06/13,中華名廈大廈,永康區大橋三街32號4樓,1,6,1,(082)南工使字第07558號
75,'86-85597,086/06/13,君臨大地大樓,永康區永大路2段677巷7號,1,15,2,(083)南工使字第00625號
76,'86-86099,086/06/13,中華新世紀公寓大廈,永康區南台街89巷13號9F1,1,13,2,(085)南工使字第02109號
77,'建92443,086/06/14,萬客隆鉅星公寓大廈,安平區育平九街22巷5號8樓之12,1,8,2,(085)南工使字第00316號
78,'86-97737,086/06/23,名人世家大樓,佳里區林園街212之3號5樓,3,12,1,(085)南工局使字第00540號
79,'86-91374,086/06/23,國際新都Ⅱ期大樓,永康區國光七街48號5樓之2,1,8,1,(085)南工使字第00827號
80,'86-88630,086/06/23,棕櫚泉〈二〉大樓,永康區復華八街47巷43號5樓之2,1,6,2,(085)南工使字第01141號
81,'86-99663,086/07/07,泰國大樓,永康區南台街13巷45號12樓之1,1,16,1,(084)南工使字第02005號
82,'建99273,086/07/09,新都天下公寓大廈,南區新都路520巷1弄1號,1,5,0,(084)南工使字第01398號
83,'建99631,086/07/09,凡爾賽,安平區府前三街129號,2,7,1,(085)南工使字第00040號
84,'86-121958,086/07/15,偉庭花園華廈,永康區永大路2段1310巷12號7樓之2,1,7,1,(082)南工使字第03480號
85,'86-121960,086/07/15,西港大鎮社區,西港區新興街8之181號7樓之1,3,8,1,(084)南工使字第04678號
86,'86-121963,086/07/15,東京2001大廈,永康區小東路509號8樓之3,1,13,2,(085)南工使字第03027號
87,'建100712,086/07/17,都會小館,北區忠義路三段22號8樓之1,1,12,0,(085)南工使字第01512號
88,'86-113069,086/07/17,大橋村公寓大廈,永康區中華路619巷88弄65號,1,6,1,(085)南工使字第00538號
89,'86-108115,086/07/17,東方郡國大樓,仁德區德崙路21巷6號,1,11,1,(083)南工使字第02599號
90,'建101531,086/07/23,台南傳奇,東區富農街二段13號6樓之2,2,6,2,(084)南工使字第00979號
91,'86-127996,086/07/23,大郡鄉園福利,永康區龍埔街552號8樓之2,1,8,1,(084)南工使字第02938號
92,'86-115820,086/07/28,式澳柏克萊大樓,永康區南台街170號,1,7,2,(085)南工使字第00362號
93,'86-130686,086/07/28,維冠龍殿公寓大廈,永康區永二街425號1樓,4,16,1,(083)南工使字第02001號
94,'86117774,086/07/28,開喜樓大樓,佳里區義民街335號9樓之5,1,10,1,(085)南工使字第02275號
95,'86-130684,086/07/28,溫馨小築,歸仁區復國二路245號5樓之2,1,5,,(085)南工使字第01888號
96,'建108677,086/08/00,都會園社區二弄管理委員會,北區林森路三段84巷2弄42號,52,4,1,(084)南工使字第02201號
97,'建106077,086/08/01,林森花鄉,東區府東街22號3F,1,8,1,(083)南工使字第02524號
98,'107777,086/08/01,台南第一公寓大廈,安南區安中路一段840號,3,17,2,(085)南工使字第01426號
99,'86-136245,086/08/05,慶茂大樓,永康區中華路200號1樓,1,16,2,(079)南工使字第00946號
100,'86-137843,086/08/08,鼎林天廈公寓大廈,永康區小東路477巷46弄5-5號,3,16,,(080)南工使字第00117號
101,'86-137841,086/08/08,府城天下觀雲社區乙區,永康區中華二路358巷12號乙區警衛室,4,20,2,(081)南工使字第05106號
102,'86-137842,086/08/08,風華世家公寓大廈,永康區永安路105巷1號6樓,1,6,1,(082)南工使字第06026號
103,'建109372,086/08/11,京都園社區,北區小東路161號,41,4,1,(085)南工使字第01932號
104,'建109518,086/08/13,皇第公寓大廈,東區裕豐街6號4F,2,16,2,(081)南工使字第01112-79號
105,'110295,086/08/13,家綠寶,安南區安和路五段336巷5弄46號,2,3,1,(084)南工使字第00020號
106,'86-132141,086/08/20,台南新貴A區大樓(已合併，詳備註),仁德區德崙路77巷86號1樓1,1,5,1,(083)南工使字第02829號
107,'86-132142,086/08/20,台南新貴B區大樓(已合併，詳備註),仁德區上崙里上崙子1之39號2樓之3,1,5,1,(083)南工使字第02828號
108,'86-132138,086/08/20,台南新貴C區大樓(已合併，詳備註),仁德區上崙里上崙子1之43號4樓之3,1,5,1,(083)南工使字第02827號
109,'86-130399,086/08/20,陽光新加坡大樓,永康區六合里新興街111號6樓之1,1,7,2,(085)南工使字第02335號
110,'86-132289,086/08/20,長谷桃花源大樓,永康區南工街226巷1弄9號之1,12,8,2,(084)南工使字第04331號
111,'86-146351,086/08/20,皇帝邸公寓大廈,佳里區安西里安西127號4樓之14,1,5,,(084)南工使字第01805號
112,'86-146345,086/08/20,富貴鄉,永康區龍潭里中山北路264巷286弄5之1號,2,5,,(083)南工使字第01711號共2筆使照
113,'86-149212,086/08/26,歐香社區,永康區國光八街5號3樓,1,7,1,(081)南工使字第02816號
114,'86-138746,086/08/26,故鄉華廈〈二〉公寓大廈,佳里區建南里60之38號4樓,1,8,1,(085)南工使字第01312號
115,'建118727,086/09/12,西門財經公寓大廈,中西區西門路二段389號,1,11,0,(079)南工使字第01066-03號
116,'120531,086/09/18,大國天廈管理負責人,北區前鋒路293號5樓-3,1,12,2,(080)南工使字第01075-83號
117,'86-168415,086/09/25,嘉禧王朝,永康區大橋一街63號8樓之3,1,13,1,(083)南工使字第01556號
118,'86-168416,086/09/25,蝶戀大樓,永康區鹽洲二街160巷1號5F5,1,12,1,(083)南工使字第04753號
119,'86-170829,086/09/30,力漢王朝二期,永康區八德街55巷17號,1,6,,(085)南工使字第00615號
120,'86-184010,086/10/20,歸仁莎城,歸仁區仁愛北街70號6樓,1,8,1,(084)南工使字第00028號
121,'86-183996,086/10/20,洪福齊天,新營區中山路117號6樓之1,1,16,2,(082)南工局使字第07457號
122,'86-170282,086/10/20,新市大雍和平大廈,新市區和平街15巷12弄2號,2,7,1,(082)南工使字第03691號
123,'86-176452,086/10/20,德富大樓A棟,永康區永大路896巷2弄3號7樓之2,1,10,2,(084)南工使字第00374號
124,'86-184002,086/10/20,狀元第,新化區中山路578號8樓之7,1,13,2,(085)南工局使字第01361號
125,'86-191298,086/11/03,園中園大廈住戶,仁德區民安路2段77號7樓之1,1,11,2,(084)南工使字第01274號
126,'建129913,086/11/05,金龍大廈,東區莊敬路118號7樓之3,1,17,2,(079)南工使字第01063-15號
127,'建13600,086/11/17,美國華府住戶大樓,東區崇道路100號,3,8,2,(081)南工使字第00518號
128,'86-201223,086/11/18,歐洲世界第五期,永康區中正路256巷13號,7,16,1,(082)南工使字第04857號
129,'86-188317,086/11/19,羅丹天地大樓,永康區四維街37號3樓5,2,7,2,(084)南工使字第01771號
130,'建135781,086/11/20,金帥公寓大廈,南區新興路241號,1,7,0,(073)南工使字第00798-08號
131,'86-201580,086/11/22,東方荷蘭,永康區大武街62號13樓之1,1,16,2,(083)南工使字第03350號
132,'86-204860,086/11/22,東方公園社區,永康區中華二路266巷22號,5,19,2,(086)南工使字第00212號
133,'建137428,086/11/26,華平公園特區大樓,安平區華平路21巷32弄22號,6,1,0,(082)南工使字第00551號
134,'86-207343,086/11/27,家專二期四季風情,永康區中正六街175號,1,8,2,(083)南工使字第05568號
135,'建140696,086/12/03,美南特區公寓大廈,南區美南街109號,2,7,1,(084)南工使字第00504號
136,'建139318,086/12/03,好美滿大廈,南區三官路127號,1,5,0,(077)南工使字第00981-83號
137,'86-210502,086/12/03,萬代江山,新營區新進路二段496之2號12樓,8,14,1,(083)南工局使字第05584號
138,'建139676,086/12/05,開元大廈,北區勝利路222號5F-3,2,6,1,(069)南工字第00551-80號
139,'86-203343,086/12/08,大灣江山大樓,永康區永興路109號4樓之1,1,13,2,(083)南工使字第04500號
140,'建141824,086/12/10,太子統帥大樓,東區富農街一段195號,1,11,3,(080)南工使字第01097-98號
141,'建141670,086/12/11,羅馬儷園公寓,南區府緯街115巷36號,16,5,0,(073)南工使字第00804-35號
142,'建140600,086/12/11,華雅名門大樓,南區德興路139巷36號1F,1,6,1,(083)南工使字第03482號
143,'建143946,086/12/11,朝代一期公寓大廈,安平區平通路86號,1,6,1,(079)南工使字第01073-36號
144,'86-210386,086/12/12,大禾馨園,新化區復興街225之3號,1,7,1,(083)南工使字第04499號
145,'86-217172,086/12/12,慶都大第大樓,永康區國華街49號,1,15,2,(084)南工使字第03674號
146,'建145828,086/12/22,碧富邑公寓大廈,東區東興路399號5樓,1,7,2,(080)南工使字第01083-73號
147,'86-226375,086/12/29,儷景花都,仁德區正義二街151號,2,8,1,(083)南工使字第04475號共2筆使照
148,'86-213719,086/12/29,市政天廈大樓,永康區文化路36號6樓之5,1,13,2,(084)南工使字第00745號
149,'86-226374,086/12/29,巴黎王朝大廈,永康區大橋一街210號7樓之6,1,9,3,(085)南工使字第00527號
150,'建149266,086/12/30,大隆世界觀二期公寓大廈,安平區國平路387號6F2,1,8,1,(084)南工使字第00775號
151,'建148572,087/01/05,麗晶大樓,中西區海安路二段401號,1,12,2,(085)南工使字第01304號
152,'建150522,087/01/06,市政王朝NO.1公寓大廈,安平區建平十二街135-1號,1,6,1,(081)南工使字第00180號
153,'87-4360,087/01/08,國王的家,仁德區中清一街48號7樓之2,1,13,2,(082)南工使字第02836號
154,'87-4359,087/01/08,大灣市中市,永康區大灣路240巷1號,1,12,1,(085)南工使字第02059號
155,'86-225727,087/01/13,凱撒陽光大廈,善化區光華路128巷13號4樓,1,7,1,(083)南工使字第02807號
156,'53032,087/01/14,統穩商業大樓,東區大同路一段173號,1,12,2,(080)南工使字第01091-75號
157,'建2530,087/01/22,富貴一生大樓,安平區永華十一街17巷39號,1,6,1,(085)南工使字第00267號
158,'87-1815,087/01/22,萬福金庭,善化區民生路283號6樓,1,10,1,(083)南工使字第03061號
159,'87-13591,087/01/22,綠地公寓大廈,永康區永平路759巷32號5F,1,5,,(081)南工使字第03880號
160,'建2802,087/01/23,薩爾斯堡大樓,中西區府前路二段258巷5號6樓,1,7,1,(082)南工使字第01214號
161,'55902,087/01/26,北安和風村A區,安南區育安三街216巷1號,1,4,0,(086)南工使字第01060號
162,'87-21540,087/02/10,鄉親大樓,仁德區仁義六街25號3樓之1,1,6,1,(081)南工使字第06515號
163,'64053,087/02/27,育修大樓,安南區安中路四段290巷238號,1,5,0,(082)南工使字第02903號
164,'87-21700,087/03/02,凱悅生活館大樓,永康區中華路862號2樓,1,8,1,(086)南工使字第02403號
165,'建64263,087/03/03,名人麗堡,東區崇德十九街19號,1,7,1,(080)南工使字第01091-13號
166,'建64100,087/03/05,公園麗景住戶,南區南功街85巷6號5樓-2,1,8,2,(086)南工使字第00920號
167,'87-41620,087/03/10,展旭天廈公寓大廈,永康區中華路578巷2之1號5樓之3,1,8,1,(085)南工使字第02806號
168,'87-41631,087/03/10,崇善緣公寓社區,仁德區德安路88之1號5樓之1,1,7,1,(085)南工使字第03249號
169,'87-26565,087/03/10,東澳2000,永康區龍安街290號,1,9,1,(084)南工使字第04387號
170,'87-25601,087/03/10,新滿意築大樓,永康區永大路二段360巷1號7樓之2,1,7,1,(084)南工使字第02159號
171,'87-45541,087/03/16,永新社區A區,新化區金華街一段18號,4,7,1,(086)南工使字第02019號
172,'87-45538,087/03/16,永新社區C區,新市區永華二街1號,15,8,1,(086)南工使字第02021號
173,'87-35843,087/03/16,永大萬歲大樓,永康區中山北路123巷27弄79號6樓之2,1,8,2,(086)南工使字第01400號
174,'建72576,087/03/27,台南市南寧街公教公寓大樓,中西區南寧街37巷5號4樓,2,7,1,(085)南工使字第00624號共2筆使照
175,'建73354,087/04/01,新境一期大樓,安平區建平十七街67號12樓,1,12,1,(080)南工使字第01088-41號
176,'建72949,087/04/01,國泰裕農家園,東區裕農路71巷98弄62號,1,5,0,(089)南工使字第57983號
177,'87-50053,087/04/07,欣和中央大廈大樓,鹽水區義稠里義稠110之25號12樓之1,1,12,1,(085)南工使字第02310號
178,'87-58766,087/04/07,喬英社區,麻豆區麻學路一段7號,1,12,1,(086)南工局使字第01423號
179,'87-73853,087/04/29,長榮新世紀,後壁區福安里200之95號,78,4,,(085)南工使字第00003號共3筆使照
180,'87-73856,087/04/29,家年華乙區公寓大廈,永康區中山北路164巷78弄7之20號,1,8,1,(086)南工使字第02675號
181,'87-73858,087/04/29,鄉詩庭,西港區慶安里新興街107巷3號4樓之1,3,7,1,(085)南工使字第01543號
182,'87-76941,087/05/04,國際新都〈一〉大樓,永康區大仁街166號6樓之2,1,8,1,(084)南工使字第01073號
183,'82693,087/05/06,安定鄉公寓大廈,東區崇德十九街9號,1,7,0,(082)南工使字第02133號
184,'87-79350,087/05/07,李察王子公寓大廈,仁德區中正路2段1205巷16號1樓,1,7,1,(083)南工使字第00894號
185,'87-79352,087/05/07,理想別墅社區公寓大廈,歸仁區七甲里七甲五街102巷39弄39號,5,4,,(086)南工使字第02037號
186,'87-79355,087/05/07,國光新城,永康區大灣路764巷105號7樓之6,1,8,1,(083)南工使字第03971號
187,'87-79355,087/05/07,長榮得意居,歸仁區武東里武東一街49巷66號,3,6,,(086)南工使字第01702號
188,'建88049,087/05/21,文教雅築,東區崇明十五街2號,1,7,0,(081)南工使字第00344號
189,'建86146,087/05/21,文化新天地大廈,東區中華東路三段541號,0,1,1,(082)南工使字第04070號
190,'建88785,087/05/27,式澳京華大樓,安平區建平十七街165號10樓-2,1,12,2,(084)南工使字第02762號
191,'87-92022,087/05/27,麗華城,新營區建業路227巷16弄22號,1,8,1,(086)南工使字第02027號
192,'87-92019,087/05/27,坎城新特區,永康區南工街311巷62號,1,8,2,(086)南工使字第02002號
193,'89634,087/05/28,旺寶座第二期,安南區安富街167巷1號,30,4,1,(086)南工使字第00870號
194,'建108317,087/06/01,大同京都大樓,東區大同路一段141巷53號,1,7,1,(083)南工使字第03440號
195,'建89507,087/06/01,好泊村公寓大廈,安平區建平九街60巷36號,2,6,1,(081)南工使字第01105-24號
196,'87-97579,087/06/04,統元世紀財星大樓,永康區永福街97巷10號5樓之6,1,10,1,(081)南工使字第05813號
197,'87-97565,087/06/04,綠陽大廈,永康區中山南路597巷16之4號,1,6,1,(081)南工使字第06120號
198,'建93074,087/06/12,文化通商公寓大廈,中西區府前路一段283號,1,12,1,(071)南工使字第00753-61號
199,'87-104994,087/06/16,翡翠甜蜜家庭公寓大廈,永康區永二街245巷27-2號3樓,2,7,1,(083)南工使字第05393號
200,'87-104993,087/06/16,啟順名廈,永康區自強路378號,1,8,1,(082)南工使字第07602號
201,'建107776,087/07/02,豪門貴族大廈,東區崇德十一街56號,1,6,1,(081)南工使字第01110-51號
202,'87-114931,087/07/02,愛天廈第二代公寓大廈,新營區大同路30之35號,1,8,1,(081)南工使字第05391號
203,'87-114926,087/07/02,名人花園特區,新市區信義街180號11樓之1,1,11,1,(084)南工使字第02758號
204,'建104150,087/07/14,御書苑公寓大廈,東區裕農三街175號之8,1,8,1,(086)南工使字第01328號
205,'87-123842,087/07/14,將相雲臺住戶,新營區太子路32之11號1樓,1,11,1,(082)南工使字第05592號
206,'87-123841,087/07/14,阿波羅,永康區勝利街197巷8弄2之19號5樓,1,6,1,(079)南工使字第02405號
207,'87-123840,087/07/14,江山天下住戶,歸仁區民權路49號6樓,1,7,1,(083)南工使字第05143號
208,'87-127377,087/07/20,歐帝新世界大樓,永康區中華路988號6樓之3,1,20,3,(086)南工使字第01372號
209,'建108522,087/07/29,文化藝術家二期D.E棟,東區德東街151巷37弄9號,1,8,1,(084)南工使字第00433號
210,'建107355,087/07/29,大國學苑大樓,東區勝利路50號,1,8,3,(083)南工使字第00383號
211,'87-138188,087/08/05,皇地社區,仁德區德南路187巷35號1樓,1,8,1,(084)南工使字第04330號
212,'87-143763,087/08/13,中意生活,永康區富強路1段2巷8弄49號6樓,1,7,1,(084)南工使字第02610號
213,'87-143764,087/08/13,中華小雅,永康區中華路473號6樓之4,1,7,1,(083)南工使字第04381號
214,'87-143761,087/08/13,早安新營大樓,新營區復興路301號12F-6,1,19,2,(086)南工使字第01700號
215,'87-143765,087/08/13,坎城風情公寓大廈,永康區南工街267巷46號7樓5,1,11,3,(086)南工使字第02248號
216,'87-143762,087/08/13,金山御花園,新營區裕民路14之3號4樓,1,7,1,(082)南工使字第00678號
217,'建113844,087/08/17,萬通世界金石園,北區北成路80巷40弄26號7F,1,8,1,(082)南工使字第03990號共2筆使照
218,'建113849,087/08/19,櫻木花道社區,南區金華路一段484巷239號,1,4,0,(085)南工使字第01650號
219,'建116142,087/08/26,成大榕園公寓大廈,東區東安路288號1樓之1,2,14,2,(087)南工使字第00216號
220,'建117638,087/08/29,陶淵明的故鄉公寓大廈,東區崇善十五街33巷56號,1,7,1,(083)南工使字第00061號
221,'建119269,087/09/02,東城玫瑰大樓,東區仁和路139巷13號,1,8,1,(083)南工使字第01330號
222,'87-158865,087/09/05,家專組曲,永康區中正路575巷39號7樓,1,7,1,(083)南工使字第01294號
223,'120830,087/09/11,東光佳園管理委員會,東區東光路二段82巷2號5F之2,1,9,1,(085)南工使字第01407號
224,'87-162498,087/09/11,經緯天廈,永康區小東路689之57號,1,22,2,(081)南工使字第02234號
225,'建123198,087/09/14,富貴公寓大廈,南區文南路324巷1號,1,5,0,(075)南工使字第00863-38號
226,'建124039,087/09/18,漢宮大樓住戶,東區崇善十三街8號,1,7,1,(081)南工使字第00687號
227,'建125515,087/09/24,同心協力公寓大廈,安平區永華路二段250號,1,23,3,(084)南工使字第00173號
228,'87-127316,087/09/25,至尊名殿,新營區文昌街16號7樓之1,1,7,1,(082)南工使字第01523號
229,'87-175314,087/10/01,自強大都市〈A〉公寓大廈,永康區埔園里自強路491號之33,1,6,,(083)南工使字第00039號
230,'建131624,087/10/14,民權天廈,中西區民權路三段196號,1,7,1,(085)南工使字第01538號
231,'建132001,087/10/14,黎明山水第二期公寓大廈,安平區建平十一街164巷18號,1,6,0,(082)南工使字第00564號
232,'87-189419,087/10/23,富甲天下大樓,學甲區八德街238號6樓之11,1,6,,(084)南工使字第01719號
233,'建135675,087/10/28,健康公園大樓,中西區健康路一段76號,1,7,2,(085)南工使字第01639號
234,'87-193255,087/10/29,酈地大樓,仁德區土庫路185巷14弄8號5F-2,1,8,1,(082)南工使字第01562號
235,'建36715,087/11/04,瓊廬公寓大廈,南區健康路一段333巷30號,1,5,0,(084)南工使字第01560號
236,'建138913,087/11/06,大隆雙星,東區崇德十八街20號6F,1,6,0,(082)南工使字第00472號
237,'建138485,087/11/09,富立京華社區,安平區建平七街370巷129號之2,33,5,0,(086)南工使字第00894號共12筆使照
