統計期或資料時間,縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,戶數,人口數,
INFO_TIME,COUNTY_ID,COUNTY,TOWN_ID,TOWN,H_CNT,P_CNT,
98Y03M,10011,臺南縣,10011200,新市鄉,10553,35164,
98Y03M,10011,臺南縣,10011210,安定鄉,8950,30025,
98Y03M,10011,臺南縣,10011220,山上鄉,2706,8055,
98Y03M,10011,臺南縣,10011230,玉井鄉,5055,15706,
98Y03M,10011,臺南縣,10011240,楠西鄉,3584,10864,
98Y03M,10011,臺南縣,10011250,南化鄉,2826,8973,
98Y03M,10011,臺南縣,10011260,左鎮鄉,1959,5619,
98Y03M,10011,臺南縣,10011270,仁德鄉,23792,68430,
98Y03M,10011,臺南縣,10011280,歸仁鄉,19900,65739,
98Y03M,10011,臺南縣,10011290,關廟鄉,10541,36561,
98Y03M,10011,臺南縣,10011300,龍崎鄉,1595,4480,
98Y03M,10011,臺南縣,10011310,永康市,72085,212938,
98Y06M,10011,臺南縣,10011010,新營市,26612,78648,
98Y06M,10011,臺南縣,10011020,鹽水鎮,9762,27424,
98Y06M,10011,臺南縣,10011030,白河鎮,10853,31887,
98Y06M,10011,臺南縣,10011040,柳營鄉,7707,23028,
98Y06M,10011,臺南縣,10011050,後壁鄉,8610,26180,
98Y06M,10011,臺南縣,10011060,東山鄉,8133,23407,
98Y06M,10011,臺南縣,10011070,麻豆鎮,14634,46158,
98Y06M,10011,臺南縣,10011080,下營鄉,8979,26486,
98Y06M,10011,臺南縣,10011090,六甲鄉,7524,24172,
98Y06M,10011,臺南縣,10011100,官田鄉,7541,22414,
98Y06M,10011,臺南縣,10011110,大內鄉,4054,11171,
98Y06M,10011,臺南縣,10011120,佳里鎮,18882,59528,
98Y06M,10011,臺南縣,10011130,學甲鎮,9301,28183,
98Y06M,10011,臺南縣,10011140,西港鄉,7670,25341,
98Y06M,10011,臺南縣,10011150,七股鄉,7843,25085,
98Y06M,10011,臺南縣,10011160,將軍鄉,7357,21857,
98Y06M,10011,臺南縣,10011170,北門鄉,4250,12558,
98Y06M,10011,臺南縣,10011180,新化鎮,13410,44443,
98Y06M,10011,臺南縣,10011190,善化鎮,14078,43183,
98Y06M,10011,臺南縣,10011200,新市鄉,10591,35049,
98Y06M,10011,臺南縣,10011210,安定鄉,8986,30026,
98Y06M,10011,臺南縣,10011220,山上鄉,2700,8022,
98Y06M,10011,臺南縣,10011230,玉井鄉,5052,15632,
98Y06M,10011,臺南縣,10011240,楠西鄉,3576,10836,
98Y06M,10011,臺南縣,10011250,南化鄉,2826,8997,
98Y06M,10011,臺南縣,10011260,左鎮鄉,1961,5664,
98Y06M,10011,臺南縣,10011270,仁德鄉,23915,68468,
98Y06M,10011,臺南縣,10011280,歸仁鄉,20000,65813,
98Y06M,10011,臺南縣,10011290,關廟鄉,10558,36483,
98Y06M,10011,臺南縣,10011300,龍崎鄉,1598,4466,
98Y06M,10011,臺南縣,10011310,永康市,72479,213180,
98Y09M,10011,臺南縣,10011010,新營市,26760,78368,
98Y09M,10011,臺南縣,10011020,鹽水鎮,9819,27364,
98Y09M,10011,臺南縣,10011030,白河鎮,10864,31838,
98Y09M,10011,臺南縣,10011040,柳營鄉,7716,22978,
98Y09M,10011,臺南縣,10011050,後壁鄉,8648,26183,
98Y09M,10011,臺南縣,10011060,東山鄉,8150,23371,
98Y09M,10011,臺南縣,10011070,麻豆鎮,14801,46139,
98Y09M,10011,臺南縣,10011080,下營鄉,9028,26462,
98Y09M,10011,臺南縣,10011090,六甲鄉,7549,24048,
98Y09M,10011,臺南縣,10011100,官田鄉,7574,22418,
98Y09M,10011,臺南縣,10011110,大內鄉,4060,11121,
98Y09M,10011,臺南縣,10011120,佳里鎮,19008,59478,
98Y09M,10011,臺南縣,10011130,學甲鎮,9401,28169,
98Y09M,10011,臺南縣,10011140,西港鄉,7710,25328,
98Y09M,10011,臺南縣,10011150,七股鄉,7896,25005,
98Y09M,10011,臺南縣,10011160,將軍鄉,7382,21830,
98Y09M,10011,臺南縣,10011170,北門鄉,4311,12554,
98Y09M,10011,臺南縣,10011180,新化鎮,13500,44384,
98Y09M,10011,臺南縣,10011190,善化鎮,14220,43282,
98Y09M,10011,臺南縣,10011200,新市鄉,10649,35036,
98Y09M,10011,臺南縣,10011210,安定鄉,9086,30109,
98Y09M,10011,臺南縣,10011220,山上鄉,2708,8005,
98Y09M,10011,臺南縣,10011230,玉井鄉,5070,15616,
98Y09M,10011,臺南縣,10011240,楠西鄉,3597,10808,
98Y09M,10011,臺南縣,10011250,南化鄉,2816,9015,
98Y09M,10011,臺南縣,10011260,左鎮鄉,1968,5647,
98Y09M,10011,臺南縣,10011270,仁德鄉,24184,68753,
98Y09M,10011,臺南縣,10011280,歸仁鄉,20144,65882,
98Y09M,10011,臺南縣,10011290,關廟鄉,10594,36389,
98Y09M,10011,臺南縣,10011300,龍崎鄉,1598,4455,
